Paper_ID,DOI,Role,Table_number,PDF_page,Table_types,Caption_excerpt,Caption_word_count,Source_status,Mean_or_std_signal,Best_second_best_signal
P033,10.1109/tcyb.2023.3246985,A,I,9,PARAMETERS; COMPLEXITY,PARAMETERS OF ALGORITHM 1,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P033,10.1109/tcyb.2023.3246985,A,II,9,PARAMETERS; COMPLEXITY,PARAMETERS OF THE UAV MODEL,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P033,10.1109/tcyb.2023.3246985,A,III,11,ENVIRONMENT_SETTINGS; MAIN_COMPARISON,COMPARISON RESULTS OF DIFFERENT POLICIES IN THE TRAINING ENVIRONMENT,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P033,10.1109/tcyb.2023.3246985,A,IV,13,MAIN_COMPARISON,COMPARISON RESULTS OF FIVE POLICIES UNDER FIVE DIFFERENT SCENARIOS,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P033,10.1109/tcyb.2023.3246985,A,V,14,GENERALIZATION,GENERALIZATION TEST RESULTS OF POLICY 3-G U NDER DIFFERENT VALUES OF τv IN THE TRAINING SCENARIO,16,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P034,10.1109/tcyb.2021.3132587,A,I,3,UNCLASSIFIED,LIST OF KEY SYMBOLS,4,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P035,10.1109/tcyb.2021.3070385,A,I,2,UNCLASSIFIED,"Moreover, the main contributions of this study are",8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P035,10.1109/tcyb.2021.3070385,A,II,12,PARAMETERS; COMPLEXITY,BASIC PARAMETERS OF THE USED XTARK ROBOT,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P036,10.1109/tcyb.2021.3057219,A,I,8,PARAMETERS; COMPLEXITY,PARAMETERS OF k1i(t) IN (35) WITH ι= 2,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P036,10.1109/tcyb.2021.3057219,A,II,11,MAIN_COMPARISON,PERFORMANCE COMPARISON,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P037,10.1109/tcyb.2023.3263380,A,I,5,UNCLASSIFIED,"SYNERGY MATRIX .E ACH ELEMENT si,j REPRESENTS THE INCREMENT",9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P037,10.1109/tcyb.2023.3263380,A,II,6,MAIN_COMPARISON,COMPARISON BETWEEN THE PROPOSED TAMP A PPROACH,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P037,10.1109/tcyb.2023.3263380,A,III,9,UNCLASSIFIED,RESULTS OF EXPERIMENT 1.2. C OMPARISON OF THE,8,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P038,10.1109/tevc.2025.3535954,A,I,9,MAIN_COMPARISON,HV VALUES OF ALL COMPARISON ALGORITHMS ON DIFFERENT MRTA INSTANCES,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P038,10.1109/tevc.2025.3535954,A,II,10,MAIN_COMPARISON,PSP VALUES OF ALL COMPARISON ALGORITHMS ON DIFFERENT MRTA INSTANCES,10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P039,10.1109/tevc.2025.3573828,A,I,7,UNCLASSIFIED,"THREE TASK GROUPS .T HE NONBOLD TASKS IN EACH GROUP ARE EASY TASKS USED TO TRAIN TRANSFORM NET,",18,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,True
P039,10.1109/tevc.2025.3573828,A,II,7,UNCLASSIFIED,"To be fair, the stopping criterion is set as the number",11,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P039,10.1109/tevc.2025.3573828,A,III,8,UNCLASSIFIED,"SPEARMAN ’S CORRELATION COEFFICIENT OF DIFFERENT MODELS ,I NCLUDING TRANSFORM NET-INT,T RANSFORM NET-FT,T RANSFORM NET-RT, AND",16,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P039,10.1109/tevc.2025.3573828,A,IV,8,UNCLASSIFIED,shows the task rewards obtained by CTKTEA,7,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P039,10.1109/tevc.2025.3573828,A,V,9,UNCLASSIFIED,MEAN (STANDARD DEVIATION )R EW ARDS OF VARIANTS WITH,9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,True,False
P039,10.1109/tevc.2025.3573828,A,VI,10,UNCLASSIFIED,"MEANS (STANDARD DEVIATIONS ) OF THE REW ARDS OBTAINED BY GA, BO, AIEA, AND CTKTEA IN THE THREE TASK GROUPS .T HE VALUES ARE",24,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,True,False
P039,10.1109/tevc.2025.3573828,A,VII,11,UNCLASSIFIED,"MEAN OF REW ARDS OBTAINED BY GA, BO, AIEA, AND CTKTEA ON",12,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,True,False
P040,10.1109/tevc.2025.3534026,A,I,11,MAIN_COMPARISON,COMPARISON OF PATH PLANNING PERFORMANCE BETWEEN THE PROPOSED GA AND THE TRADITIONAL GA,13,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P041,10.1109/tfuzz.2025.3585934,A,I,8,MAIN_COMPARISON,COMPARISON OF PAT HRAT I OPERFORMANCE FOR VARIOUS RL METHODS IN ENDOV ASCULARNA VIGA TIONTASKS ACROSS DIFFERENT VASCULAR MODELS,19,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P041,10.1109/tfuzz.2025.3585934,A,II,9,MAIN_COMPARISON,SUCCESS RAT ECOMPARISON FOR VARIOUS RL METHODS IN ENDOV ASCULARNA VIGA TIONTASKS (20 TRIALS),14,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P041,10.1109/tfuzz.2025.3585934,A,III,9,UNCLASSIFIED,AVERAGE STEPS TAKEN ACROSS ENDOV ASCULARNA VIGA TIONTASKS (20 TRIALS),10,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P042,10.1109/tfuzz.2024.3450892,A,I,9,PHYSICAL_EXPERIMENT,CONFIGURA TIONS FOR REAL-WORLD TRAFFIC DATA,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P042,10.1109/tfuzz.2024.3450892,A,II,10,PARAMETERS; ENVIRONMENT_SETTINGS,PARAMETER SETTING OF OUR METHOD,5,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P042,10.1109/tfuzz.2024.3450892,A,III,11,UNCLASSIFIED,DISPLA YEDPERCENTAGES REPRESENT IMPROVEMENTS COMPARED TO THE FIXEDTIME METHOD UNDER THE SYNTHETIC TEST SCENARIO,14,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P042,10.1109/tfuzz.2024.3450892,A,IV,11,PHYSICAL_EXPERIMENT,DISPLA YEDPERCENTAGES REPRESENT IMPROVEMENTS COMPARED TO THE FIXEDTIME METHOD UNDER THE REAL-WORLD TEST SCENARIO,14,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P043,10.1109/tfuzz.2025.3642241,A,I,3,UNCLASSIFIED,DEFINITIONS OF VARIABLES AND OPERA TORS,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P043,10.1109/tfuzz.2025.3642241,A,II,4,UNCLASSIFIED,MEMBERSHIP FUNCTIONS,2,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P043,10.1109/tfuzz.2025.3642241,A,III,4,UNCLASSIFIED,FUZZY RULES AND FUZZY OUTPUT SURFACE,6,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
P043,10.1109/tfuzz.2025.3642241,A,IV,7,UNCLASSIFIED,"Speciﬁcally, in terms of the type of robotic systems,",9,AUTOMATED_CAPTION_CANDIDATE; human visual confirmation required,False,False
